Time, Audience01, Audience02, Audience03, Audience04, Audience05, Audience06, Audience07, Audience08, Audience09, Audience10, Audience11, Audience12, Audience13, Audience14, Audience15, Audience16 
5.0, 0.00198, -0.00376, -0.00385, 0, -0.00288, -0.00272, -0.01043, -0.00706, -0.00163, -0.00067, -0.00402, 0.00272, 0.00099, 0.00032, -0.00015, 0
5.1, 0.00195, -0.00612, -0.00417, 0, -0.00258, -0.00153, -0.01251, -0.00263, -0.00148, 0.00052, -0.00753, 0.00239, 0.00064, -0.0001, -0.00014, 0
5.2, 0.00176, -0.00746, -0.00427, 0, -0.00227, 1e-05, -0.01592, -0.00608, -0.00143, 0.00102, -0.00106, 0.00233, 0.00081, -0.00058, -0.00021, 0
5.3, 0.00154, -0.00711, -0.00415, 0, -0.00116, 0.00054, -0.01769, -0.00718, -0.0007, 0.00206, 0.00035, 0.00217, 0.00082, -0.00112, -0.00018, 0
5.4, 0.00158, -0.00632, -0.00409, 0, -0.00075, 0.0011, -0.01897, -0.00721, 0.00037, 0.00288, -0.00107, 0.00206, 0.00079, -0.00119, -0.00023, 0
5.5, 0.00158, -0.00545, -0.00392, 0, -0.00095, 0.00288, -0.02193, -0.00848, 0.00109, 0.00384, -0.00082, 0.0019, 0.00059, -0.00103, -0.00017, 0
5.6, 0.00161, -0.0051, -0.00359, 0, -0.00155, 0.00357, -0.02455, -0.01024, 0.00205, 0.00492, -0.0018, 0.00177, 0.00036, -0.00094, -0.00017, 0
5.7, 0.00155, -0.00469, -0.00301, 0, -0.00037, 0.00309, -0.02316, -0.00674, 0.00251, 0.00519, -0.00198, 0.00158, 0.00028, -0.00114, -0.00027, 0
5.8, 0.0015, -0.00371, -0.00255, 0, -0.00178, 0.00245, -0.02081, -0.00608, 0.00238, 0.00477, -0.00166, 0.00141, 0.00099, -0.00093, -0.00025, 0
5.9, 0.00137, -0.00311, -0.00223, 0, -0.00193, 0.00058, -0.01711, -0.00467, 0.00239, 0.00381, 0.00063, 0.00136, 0.00186, -0.00075, -0.0002, 0
6.0, 0.00148, -0.00255, -0.00191, 0, -0.00197, -0.00146, -0.01432, -0.00317, 0.00213, 0.00304, 0.00155, 0.00115, 0.00269, -0.00072, -0.0002, 0
6.1, 0.00156, -0.00171, -0.00179, 0, -0.00293, -0.00205, -0.01354, -0.00788, 0.00192, 0.00256, -0.0015, 0.00116, 0.00311, -0.00086, -0.00024, 0
6.2, 0.00153, -0.00132, -0.00124, 0, -0.00198, -0.00147, -0.0138, -0.01003, 0.00246, 0.00121, -0.00094, 0.001, 0.00387, -0.00127, -0.00027, 0
6.3, 0.00151, -0.0006, -0.00078, 0, -0.00237, -0.00101, -0.01244, -0.01277, 0.00274, 0.00026, -0.00035, 0.00093, 0.00329, -0.00141, -0.00015, 0
6.4, 0.00131, -0.00016, -0.00045, 0, -0.00271, -0.00029, -0.01082, -0.01633, 0.00229, -0.00052, -0.00047, 0.00084, 0.00318, -0.00127, -0.00021, 0
6.5, 0.00144, 3e-05, -0.00048, 0, -0.00301, 0.0009, -0.00473, -0.01522, 0.00066, -0.00077, -0.00024, 0.00075, 0.00282, -0.00147, -0.00022, 0
6.6, 0.00127, 0.00051, -0.00052, 0, -0.00268, 0.00153, 0.0009, -0.01939, -0.00161, -0.00093, 0.0003, 0.00071, 0.00209, -0.00158, -0.00025, 0
