Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: 06 Laugh, 07 Laugh, 08 Laugh, 09 Laugh, 10 Laugh, 11 Laugh, 13 Laugh, 14 Laugh
Time,Duration,TrackName,comment
1361320,3685,06 Laugh,Indeterminate
1361320,4759,14 Laugh,Smiling
1361401,4678,09 Laugh,Smiling
1361440,2480,07 Laugh,Laughing
1361641,4438,11 Laugh,Laughing
1363921,798,07 Laugh,Smiling
1364720,1359,07 Laugh,Laughing
1365005,995,06 Laugh,Laughing
28079,0,07 Laugh,(null)
28760,0,07 Laugh,(null)
29319,0,07 Laugh,(null)
29760,0,07 Laugh,(null)
30079,0,07 Laugh,(null)
30280,0,07 Laugh,(null)
30479,0,07 Laugh,(null)
30920,0,07 Laugh,(null)
31079,0,07 Laugh,(null)
31239,0,07 Laugh,(null)
31440,0,07 Laugh,(null)
31600,0,07 Laugh,(null)
31760,0,07 Laugh,(null)
31920,0,07 Laugh,(null)
32119,0,07 Laugh,(null)
32279,0,07 Laugh,(null)
33240,0,07 Laugh,(null)
33439,0,07 Laugh,(null)
33639,0,07 Laugh,(null)
33840,0,07 Laugh,(null)
34080,0,07 Laugh,(null)
474000,21640,14 Laugh,Not Laughing
474000,4920,11 Laugh,Smiling
474000,49559,13 Laugh,Not Laughing
474040,6359,08 Laugh,Smiling
474079,10641,09 Laugh,Smiling
474079,17280,10 Laugh,Not Laughing
474079,3536,07 Laugh,Smiling
474102,1961,06 Laugh,Smiling
476114,2606,06 Laugh,Indeterminate
477615,2985,07 Laugh,Not Laughing
478720,2320,06 Laugh,Smiling
478921,1799,11 Laugh,Not Laughing
480400,40199,08 Laugh,Not Laughing
480601,5559,07 Laugh,Smiling
480721,5879,11 Laugh,Laughing
481040,15079,06 Laugh,Not Laughing
484721,6398,09 Laugh,Not Laughing
486161,4879,07 Laugh,Not Laughing
486640,1280,11 Laugh,Smiling
487921,5999,11 Laugh,Laughing
491041,10918,07 Laugh,Smiling
491120,10080,09 Laugh,Smiling
491360,9159,10 Laugh,Smiling
493959,2160,11 Laugh,Not Laughing
495641,5399,14 Laugh,Smiling
496119,2840,06 Laugh,Smiling
496120,6080,11 Laugh,Smiling
499000,8799,06 Laugh,Not Laughing
500520,5559,10 Laugh,Not Laughing
501079,4641,14 Laugh,Not Laughing
501239,5081,09 Laugh,Not Laughing
501960,4119,07 Laugh,Not Laughing
502201,4038,11 Laugh,Not Laughing
505721,3759,14 Laugh,Smiling
506080,3840,07 Laugh,Laughing
506080,5279,10 Laugh,Laughing
506240,6319,11 Laugh,Laughing
506321,5798,09 Laugh,Smiling
507800,6799,06 Laugh,Not Laughing
509519,12160,14 Laugh,Not Laughing
509921,4118,07 Laugh,Not Laughing
511360,4480,10 Laugh,Smiling
512120,2775,09 Laugh,Not Laughing
512560,18999,11 Laugh,Smiling
514040,1519,07 Laugh,Smiling
514599,4520,06 Laugh,Indeterminate
514896,10424,09 Laugh,Smiling
515560,4999,07 Laugh,Not Laughing
515841,11398,10 Laugh,Not Laughing
519119,2000,06 Laugh,Not Laughing
520560,6599,07 Laugh,Laughing
520600,11759,08 Laugh,Smiling
521119,5360,06 Laugh,Indeterminate
521680,4559,14 Laugh,Smiling
523560,8440,13 Laugh,Smiling
525321,4959,09 Laugh,Laughing
526280,7680,14 Laugh,Smiling
526479,1161,06 Laugh,Laughing
527160,12280,07 Laugh,Not Laughing
527240,6960,10 Laugh,Smiling
527640,5194,06 Laugh,Smiling
530320,4960,09 Laugh,Not Laughing
531560,4119,11 Laugh,Not Laughing
532039,21200,13 Laugh,Not Laughing
532360,1720,08 Laugh,Indeterminate
532834,3686,06 Laugh,Not Laughing
533961,3638,14 Laugh,Not Laughing
534081,14239,08 Laugh,Not Laughing
534201,1718,10 Laugh,Not Laughing
535281,5398,09 Laugh,Smiling
535680,3239,11 Laugh,Smiling
535920,9639,10 Laugh,Smiling
536521,3319,06 Laugh,Smiling
537600,4945,14 Laugh,Smiling
538920,7840,11 Laugh,Laughing
539441,4238,07 Laugh,Laughing
539842,5947,06 Laugh,Indeterminate
540680,2280,09 Laugh,Laughing
542545,10535,14 Laugh,Not Laughing
542961,10598,09 Laugh,Not Laughing
543680,4200,07 Laugh,Not Laughing
545560,8599,10 Laugh,Not Laughing
545789,2952,06 Laugh,Not Laughing
546760,1880,11 Laugh,Not Laughing
547881,2879,07 Laugh,Smiling
548321,11519,08 Laugh,Smiling
548641,5278,11 Laugh,Smiling
548742,12737,06 Laugh,Indeterminate
550761,3158,07 Laugh,Not Laughing
553081,5518,14 Laugh,Smiling
553240,5720,13 Laugh,Laughing
553560,6960,09 Laugh,Smiling
553920,1679,07 Laugh,Laughing
553920,960,11 Laugh,Not Laughing
554160,10519,10 Laugh,Smiling
554881,9358,11 Laugh,Smiling
555600,7160,07 Laugh,Smiling
558640,12399,14 Laugh,Not Laughing
559000,35599,13 Laugh,Smiling
559841,6878,08 Laugh,Not Laughing
560559,7961,09 Laugh,Not Laughing
561480,26119,06 Laugh,Not Laughing
562761,4559,07 Laugh,Not Laughing
564240,2600,11 Laugh,Not Laughing
564680,5160,10 Laugh,Not Laughing
566720,4639,08 Laugh,Smiling
566841,1999,11 Laugh,Smiling
567321,6358,07 Laugh,Smiling
568521,17718,09 Laugh,Smiling
568841,8679,11 Laugh,Laughing
569841,5359,10 Laugh,Smiling
571040,10840,14 Laugh,Smiling
571360,2280,08 Laugh,Indeterminate
573679,12401,08 Laugh,Smiling
573680,5999,07 Laugh,Not Laughing
575200,4719,10 Laugh,Not Laughing
577559,1600,11 Laugh,Smiling
579160,6319,11 Laugh,Laughing
579680,2359,07 Laugh,Laughing
579920,7319,10 Laugh,Smiling
581881,4759,14 Laugh,Not Laughing
582040,4519,07 Laugh,Not Laughing
585520,2318,11 Laugh,Not Laughing
586081,2119,08 Laugh,Not Laughing
586240,720,09 Laugh,Not Laughing
586560,3799,07 Laugh,Laughing
586641,2879,14 Laugh,Smiling
586961,3559,09 Laugh,Laughing
587240,3359,10 Laugh,Laughing
587600,2439,06 Laugh,Laughing
587838,4567,11 Laugh,Smiling
588201,2158,08 Laugh,Smiling
589559,10240,14 Laugh,Not Laughing
590040,6879,06 Laugh,Not Laughing
590360,7520,07 Laugh,Not Laughing
590360,8480,08 Laugh,Not Laughing
590521,5559,09 Laugh,Not Laughing
590640,7240,10 Laugh,Not Laughing
592406,5102,11 Laugh,Not Laughing
594600,56480,13 Laugh,Not Laughing
596081,9747,09 Laugh,Smiling
596920,3679,06 Laugh,Smiling
597508,8051,11 Laugh,Laughing
597881,5798,10 Laugh,Smiling
597881,7038,07 Laugh,Laughing
598841,12410,08 Laugh,Smiling
599800,2520,14 Laugh,Smiling
600600,15439,06 Laugh,Not Laughing
602321,111038,14 Laugh,Not Laughing
603680,12679,10 Laugh,Not Laughing
604920,11960,07 Laugh,Not Laughing
605560,27039,11 Laugh,Not Laughing
605828,31971,09 Laugh,Not Laughing
611251,5844,08 Laugh,Not Laughing
616040,3639,06 Laugh,Smiling
616360,5840,10 Laugh,Not Laughing
616881,5514,07 Laugh,Laughing
617095,8722,08 Laugh,Smiling
619680,17720,06 Laugh,Not Laughing
622201,16958,10 Laugh,Not Laughing
622395,9245,07 Laugh,Not Laughing
625818,5622,08 Laugh,Not Laughing
631441,5238,08 Laugh,Smiling
631641,3278,07 Laugh,Smiling
632599,1481,11 Laugh,Smiling
634081,3638,11 Laugh,Not Laughing
634920,3319,07 Laugh,Not Laughing
636719,1000,08 Laugh,Not Laughing
637401,2838,06 Laugh,Laughing
637720,2959,08 Laugh,Laughing
637720,7280,11 Laugh,Smiling
637800,28861,09 Laugh,Smiling
638240,5040,07 Laugh,Laughing
639160,1959,10 Laugh,Indeterminate
640280,7800,06 Laugh,Smiling
640680,3799,08 Laugh,Indeterminate
641120,21960,10 Laugh,Smiling
643281,1838,07 Laugh,Smiling
644480,13119,08 Laugh,Smiling
645001,5798,11 Laugh,Laughing
645120,3439,07 Laugh,Laughing
648081,13958,06 Laugh,Not Laughing
648560,6080,07 Laugh,Smiling
650800,5239,11 Laugh,Not Laughing
651081,17398,13 Laugh,Smiling
654641,4319,07 Laugh,Laughing
656040,2600,11 Laugh,Smiling
657600,15199,08 Laugh,Not Laughing
658641,2838,11 Laugh,Not Laughing
658961,3479,07 Laugh,Smiling
